Nombre de cellules à J0,9
Nombre de cellules à J5,16
Nombre de mitoses totale,25
Nombre de cycles mitotiques,2.77778
Nombre de mitoses normales,17
Nombre de mitoses anormales,8
Nombre de mitoses non dichotomiques,5
Nombre de refusions après mitose,8
Nombre total de morts,14
Nombre de mort sans mitose,0
Nombre de mort après mitose,14
Nombre de sorties,0
Longueur moyenne entre deux cycles,218
Longueur moyenne entre T0 et première division,190
,
Nom des cellules,C1,C2,C3,C4,C5,C6,C7,C8,C9
Nombre de divisions,3,2,2,2,2,4,1,3,6
,
Nombre de divisions,0,1,2,3,4,5,6
Nombre de cellules concernées,0,1,4,2,1,0,1
