Nombre de cellules à J0,20
Nombre de cellules à J5,68
Nombre de mitoses totale,77
Nombre de cycles mitotiques,3.85
Nombre de mitoses normales,71
Nombre de mitoses anormales,6
Nombre de mitoses non dichotomiques,4
Nombre de refusions après mitose,4
Nombre total de morts,19
Nombre de mort sans mitose,4
Nombre de mort après mitose,15
Nombre de sorties,10
Longueur moyenne entre deux cycles,221
Longueur moyenne entre T0 et première division,88
,
Nom des cellules,C1,C2,C3,C4,C5,C6,C7,C8,C9,CC10,CC11,CC12,CC13,CC14,CC15,CCC16,CCC17,CCC18,CCC19,CCC20
Nombre de divisions,5,0,4,2,2,0,0,3,6,1,3,3,8,8,8,5,5,7,7,0
,
Nombre de divisions,0,1,2,3,4,5,6,7,8
Nombre de cellules concernées,4,1,2,3,1,3,1,2,3
