Nombre de cellules à J0,61
Nombre de cellules à J5,225
Nombre de mitoses totale,263
Nombre de cycles mitotiques,4.31148
Nombre de mitoses normales,220
Nombre de mitoses anormales,43
Nombre de mitoses non dichotomiques,27
Nombre de refusions après mitose,35
Nombre total de morts,59
Nombre de mort sans mitose,8
Nombre de mort après mitose,51
Nombre de sorties,29
Longueur moyenne entre deux cycles,164
Longueur moyenne entre T0 et première division,178
,
Nom des cellules,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,CC21,CC22,CC23,CC24,CC25,CC26,CC27,CC28,CC29,CC30,CC31,CC32,CCC33,CCC34,CCC35,CCC36,CCC37,CCC38,CCC39,CCC40,CCC41,CCC42,CCC43,CCC44,CCC45,CCC46,CCCC47,CCCC48,CCCC49,CCCC50,CCCC51,CCCC52,CCCC53,CCCC54,CCCC55,CCCC56,CCCC57,CCCC58,CCCC59,CCCC60,CCCC61
Nombre de divisions,7,1,8,0,5,4,4,1,4,0,0,1,0,2,3,1,0,5,3,5,7,4,6,10,17,1,13,19,1,6,8,3,1,1,22,16,4,1,1,0,0,1,0,0,0,2,9,5,12,5,7,1,5,0,0,2,3,3,13,0,0
,
Nombre de divisions,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
Nombre de cellules concernées,14,12,3,5,5,6,2,3,2,1,1,0,1,2,0,0,1,1,0,1,0,0,1
