Nombre de cellules à J0,46
Nombre de cellules à J5,156
Nombre de mitoses totale,183
Nombre de cycles mitotiques,3.97826
Nombre de mitoses normales,157
Nombre de mitoses anormales,26
Nombre de mitoses non dichotomiques,13
Nombre de refusions après mitose,23
Nombre total de morts,38
Nombre de mort sans mitose,7
Nombre de mort après mitose,31
Nombre de sorties,22
Longueur moyenne entre deux cycles,170
Longueur moyenne entre T0 et première division,167
,
Nom des cellules,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,CC19,CC20,CC21,CC22,CC23,CC24,CC25,CC26,CC27,CC28,CC29,CC30,CC31,CC32,CCC33,CCC34,CCC35,CCC36,CCC37,CCC38,CCC39,CCC40,CCC41,CCC42,CCC43,CCC44,CCC45,CCC46
Nombre de divisions,1,2,0,5,0,5,8,0,0,5,1,7,1,0,0,0,0,0,2,0,1,8,1,0,2,9,1,16,2,7,17,0,4,10,4,6,12,20,8,1,3,2,12,0,0,0
,
Nombre de divisions,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Nombre de cellules concernées,15,7,5,1,2,3,1,2,3,1,1,0,2,0,0,0,1,1,0,0,1
