Nombre de cellules à J0,8
Nombre de cellules à J5,0
Nombre de mitoses totale,9
Nombre de cycles mitotiques,1.125
Nombre de mitoses normales,9
Nombre de mitoses anormales,0
Nombre de mitoses non dichotomiques,0
Nombre de refusions après mitose,0
Nombre total de morts,0
Nombre de mort sans mitose,0
Nombre de mort après mitose,0
Nombre de sorties,1
Longueur moyenne entre deux cycles,269
Longueur moyenne entre T0 et première division,136
,
Nom des cellules,C1,C2,C3,C4,C5,C6,C7,C8
Nombre de divisions,1,1,1,2,1,1,1,1
,
Nombre de divisions,0,1,2
Nombre de cellules concernées,0,7,1
