Nombre de cellules à J0,182
Nombre de cellules à J5,270
Nombre de mitoses totale,408
Nombre de cycles mitotiques,2.24176
Nombre de mitoses normales,291
Nombre de mitoses anormales,117
Nombre de mitoses non dichotomiques,71
Nombre de refusions après mitose,133
Nombre total de morts,203
Nombre de mort sans mitose,24
Nombre de mort après mitose,179
Nombre de sorties,65
Longueur moyenne entre deux cycles,167
Longueur moyenne entre T0 et première division,211
,
Nom des cellules,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C57,C56,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72,C743,C74,C75,C76,C77,C78,C79,C80,C81,C82,C83,C84,C85,C86,C87,C88,C89,C90,C91,C92,C93,C94,C95,C96,C97,C98,C99,C100,C101,C102,C103,C104,C105,C106,C107,C108,C109,C110,C111,C112,C113,C114,C115,C116,C117,C118,C119,C120,C121,C122,C123,C124,C125,C126,C127,C128,C129,C130,C131,C132,C133,C134,C135,C136,C137,C138,C139,C140,C141,C142,C143,C144,C145,C146,C147,C149,C150,C151,C152,C153,C154,C155,C156,C157,C158,C159,C160,C161,C162,C163,C164,C165,C166,C167,C168,C169,C170,C171,C172,C173,C174,C175,C176,C177,C178,C179,C180,C181,C182,C183
Nombre de divisions,2,2,3,1,2,0,11,4,1,1,0,0,2,15,4,0,1,8,8,0,1,0,0,1,3,7,2,1,6,10,3,2,0,1,2,0,0,0,2,1,1,0,0,4,1,1,1,1,0,1,0,0,7,5,3,1,6,2,9,7,12,3,4,3,7,0,0,1,1,0,1,1,1,1,6,1,5,0,0,3,1,0,2,1,1,1,1,5,1,0,1,0,1,0,0,1,0,12,4,0,3,0,5,1,1,3,4,1,0,1,0,1,1,1,11,4,3,1,1,0,3,5,2,2,1,1,0,0,6,1,0,0,1,0,0,0,1,1,1,0,5,0,2,0,3,0,0,7,8,1,1,1,1,9,1,1,9,5,1,2,4,1,1,1,0,0,1,1,1,0,1,0,1,1,0,5,5,2,2,6,12,0
,
Nombre de divisions,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Nombre de cellules concernées,50,64,16,12,8,9,5,5,3,3,1,2,3,0,0,1
