Nombre de cellules à J0,21
Nombre de cellules à J5,34
Nombre de mitoses totale,39
Nombre de cycles mitotiques,1.85714
Nombre de mitoses normales,25
Nombre de mitoses anormales,14
Nombre de mitoses non dichotomiques,11
Nombre de refusions après mitose,7
Nombre total de morts,23
Nombre de mort sans mitose,7
Nombre de mort après mitose,16
Nombre de sorties,7
Longueur moyenne entre deux cycles,172
Longueur moyenne entre T0 et première division,197
,
Nom des cellules,C1,C2,C3,C4,C5,C6,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22
Nombre de divisions,1,1,0,1,0,1,8,1,0,1,0,0,1,5,3,3,1,0,6,6,0
,
Nombre de divisions,0,1,2,3,4,5,6,7,8
Nombre de cellules concernées,7,8,0,2,0,1,2,0,1
