Nombre de cellules à J0,59
Nombre de cellules à J5,215
Nombre de mitoses totale,179
Nombre de cycles mitotiques,3.0339
Nombre de mitoses normales,174
Nombre de mitoses anormales,5
Nombre de mitoses non dichotomiques,4
Nombre de refusions après mitose,1
Nombre total de morts,17
Nombre de mort sans mitose,5
Nombre de mort après mitose,12
Nombre de sorties,8
Longueur moyenne entre deux cycles,156
Longueur moyenne entre T0 et première division,132
,
Nom des cellules,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,CC23,C24,C25,C276,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C518,C519,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59
Nombre de divisions,0,0,1,1,5,7,3,7,3,4,3,3,6,5,6,3,3,0,5,6,6,7,7,7,3,5,3,2,1,3,6,0,3,1,4,3,6,0,3,3,0,0,3,1,0,1,0,7,4,4,3,1,1,1,4,2,3,0,0
,
Nombre de divisions,0,1,2,3,4,5,6,7
Nombre de cellules concernées,11,9,2,16,5,4,6,6
