Nombre de cellules à J0,11
Nombre de cellules à J5,5
Nombre de mitoses totale,12
Nombre de cycles mitotiques,1.09091
Nombre de mitoses normales,6
Nombre de mitoses anormales,6
Nombre de mitoses non dichotomiques,0
Nombre de refusions après mitose,6
Nombre total de morts,11
Nombre de mort sans mitose,3
Nombre de mort après mitose,8
Nombre de sorties,1
Longueur moyenne entre deux cycles,186
Longueur moyenne entre T0 et première division,207
,
Nom des cellules,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11
Nombre de divisions,3,2,0,1,2,0,0,0,2,1,1
,
Nombre de divisions,0,1,2,3
Nombre de cellules concernées,4,3,3,1
