Nombre de cellules à J0,16
Nombre de cellules à J5,2
Nombre de mitoses totale,15
Nombre de cycles mitotiques,0.9375
Nombre de mitoses normales,6
Nombre de mitoses anormales,9
Nombre de mitoses non dichotomiques,6
Nombre de refusions après mitose,12
Nombre total de morts,21
Nombre de mort sans mitose,5
Nombre de mort après mitose,16
Nombre de sorties,5
Longueur moyenne entre deux cycles,151
Longueur moyenne entre T0 et première division,232
,
Nom des cellules,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16
Nombre de divisions,0,2,1,1,1,1,5,1,0,1,0,1,0,0,1,0
,
Nombre de divisions,0,1,2,3,4,5
Nombre de cellules concernées,6,8,1,0,0,1
